[13:44:29] <FROM=HAB#TO=AS#TEXT=siema#>
[14:23:40] <FROM=HAB#TO=AS#TEXT=nice! :)#>
[14:24:23] <FROM=HAB#TO=AS#TEXT=is there any wind?#>
[14:24:58] <FROM=HAB#TO=AS#TEXT=ok, it should be#>
[14:25:27] <FROM=HAB#TO=AS#TEXT=guys from company will by coming in few minutes#>
[14:26:47] <FROM=HAB#TO=AS#TEXT=can you move a bit?#>
[14:27:03] <FROM=HAB#TO=AS#TEXT=i want to get new coordinates#>
[14:28:40] <FROM=HAB#TO=AS#TEXT=i see you are moving#>
[14:29:49] <FROM=HAB#TO=AS#TEXT=Never gonna give you up!#>
[14:30:03] <FROM=HAB#TO=AS#TEXT=Never gonna let you down!#>
[14:30:51] <FROM=HAB#TO=AS#TEXT=Do you want to come back?#>
[14:31:35] <FROM=HAB#TO=AS#TEXT=Do you like Oliver?#>
[14:32:24] <FROM=HAB#TO=AS#TEXT=Hello?#>
[14:33:29] <FROM=HAB#TO=AS#TEXT=I still receive  your location#>
[14:33:51] <FROM=HAB#TO=AS#TEXT=I see you#>
[14:35:35] <FROM=HAB#TO=AS#TEXT=I got B3#>
[14:36:00] <FROM=HAB#TO=AS#TEXT=I got joystick#>
[14:36:20] <FROM=HAB#TO=AS#TEXT=and now nothing#>
[14:36:39] <FROM=HAB#TO=AS#TEXT=They are coming!#>
[14:36:59] <FROM=HAB#TO=AS#TEXT=Many of them!#>
[14:37:45] <FROM=HAB#TO=AS#TEXT=We wont leave before 15:30#>
[14:37:45] <FROM=HAB#TO=AS#TEXT=#>
[14:38:02] <FROM=HAB#TO=AS#TEXT=are you alive?#>
[14:38:14] <FROM=HAB#TO=AS#TEXT=do you want to come back?#>
[14:39:37] <FROM=HAB#TO=AS#TEXT=hello#>
[14:39:48] <FROM=HAB#TO=AS#TEXT=msg 1#>
[14:39:56] <FROM=HAB#TO=AS#TEXT=msg 2#>
[14:40:17] <FROM=HAB#TO=AS#TEXT=got b1#>
[14:41:11] <FROM=HAB#TO=AS#TEXT=and a lot of gnss#>
[14:41:11] <FROM=HAB#TO=AS#TEXT=#>
[14:41:15] <FROM=HAB#TO=AS#TEXT=#>
[14:41:31] <FROM=HAB#TO=AS#TEXT=and now can you hear me?#>
[14:42:11] <FROM=HAB#TO=AS#TEXT=can you disconnect gnss?#>
[14:42:50] <FROM=HAB#TO=AS#TEXT=got b1#>
[14:42:54] <FROM=HAB#TO=AS#TEXT=got b1#>
[14:43:33] <FROM=HAB#TO=AS#TEXT=got b1 again#>
[14:45:47] <FROM=HAB#TO=AS#TEXT=can you hear me?#>
[14:45:56] <FROM=HAB#TO=AS#TEXT=Edyta? Julia?#>
[14:46:27] <FROM=HAB#TO=AS#TEXT=I got b1 b4#>
[14:46:46] <FROM=HAB#TO=AS#TEXT=hello?#>
[14:46:51] <FROM=HAB#TO=AS#TEXT=szwajcarskie#>
[14:46:59] <FROM=HAB#TO=AS#TEXT=sloneczka#>
[14:47:06] <FROM=HAB#TO=AS#TEXT=slyszycie mnie#>
[14:47:18] <FROM=HAB#TO=AS#TEXT=haaaalo#>
[14:47:25] <FROM=HAB#TO=AS#TEXT=bo pojde po was#>
[14:47:42] <FROM=HAB#TO=AS#TEXT=Bresler byl lepszym astronauta#>
[14:47:58] <FROM=HAB#TO=AS#TEXT=a teraz?#>
